#ses_id:8b80d975014f8
Time	num	currentload(cpu)	currentload_user(cpu)	currentload_system(cpu)	currentload_nice(cpu)	currentload_idle(cpu)	currentload_irq(cpu)	active(mem)	available(mem)	buffcache(mem)	free(mem)	swapfree(mem)	swaptotal(mem)	swapused(mem)	total(mem)	used(mem)	mem_relative(mem)	rx(derived)	tx(derived)	dMem(derived)	dIdle(derived)	wIO_sec(disk)	rIO_sec(disk)
2018-11-26T08:37:39+00:00	10002	13.043478260869565	0	13.043478260869565	0	86.95652173913044	0	483827712	1300746240	988438528	525377536	0	0	0	1997643776	1470599168	0.7361668710247568	0	0	0.00004715955924272652	7.78985507246378	0	0
2018-11-26T08:37:39+00:00	10003	22.22222222222222	11.11111111111111	11.11111111111111	0	77.77777777777779	0	483954688	1300619264	988438528	525250560	0	0	0	1997643776	1470726144	0.7362304339089534	549	549	0.00006356288419662182	-9.178743961352652	0	0
2018-11-26T08:37:40+00:00	10004	16.666666666666664	0	16.666666666666664	0	83.33333333333334	0	484081664	1300492288	988438528	525123584	0	0	0	1997643776	1470853120	0.73629399679315	0	0	0.00006356288419662182	5.555555555555557	0	0
2018-11-26T08:37:40+00:00	10005	20	12	8	0	80	0	484208640	1300365312	988438528	524996608	0	0	0	1997643776	1470984192	0.7363596100929658	0	0	0.00006561329981580322	-3.333333333333343	0	0
2018-11-26T08:37:40+00:00	10006	25.925925925925924	11.11111111111111	14.814814814814813	0	74.07407407407408	0	484208640	1300365312	988438528	524996608	0	0	0	1997643776	1471135744	0.736435475470878	549	549	0.00007586537791215431	-5.925925925925924	0	0
2018-11-26T08:37:40+00:00	10007	16.666666666666664	0	16.666666666666664	0	83.33333333333334	0	483573760	1301000192	988438528	525631488	0	0	0	1997643776	1470472192	0.7361033081405601	0	0	-0.000332167330317823	9.259259259259267	0	0
2018-11-26T08:37:41+00:00	10008	12.5	8.333333333333332	4.166666666666666	0	87.5	0	483700736	1300873216	988438528	525504512	0	0	0	1997643776	1470472192	0.7361033081405601	0	0	0	4.166666666666657	0	0
2018-11-26T08:37:41+00:00	10009	20	4	16	0	80	0	483827712	1300746240	988438528	525377536	0	0	0	1997643776	1470599168	0.7361668710247568	549	549	0.00006356288419662182	-7.5	0	0
2018-11-26T08:37:41+00:00	10010	87.5	58.333333333333336	29.166666666666668	0	12.5	0	486146048	1298407424	988504064	522993664	0	0	0	1997643776	1473015808	0.7373766162401119	0	0	0.001209745215355107	-67.5	0	0
2018-11-26T08:37:42+00:00	10011	100	83.33333333333334	16.666666666666664	0	0	0	485253120	1299329024	988700672	523689984	0	0	0	1997643776	1473208320	0.7374729857742164	0	0	0.00009636953410452342	-12.5	0	0
