#ses_id:8d6aa8069c773
Time	num	currentload(cpu)	currentload_user(cpu)	currentload_system(cpu)	currentload_nice(cpu)	currentload_idle(cpu)	currentload_irq(cpu)	active(mem)	available(mem)	buffcache(mem)	free(mem)	swapfree(mem)	swaptotal(mem)	swapused(mem)	total(mem)	used(mem)	mem_relative(mem)	rx(derived)	tx(derived)	dMem(derived)	dIdle(derived)	wIO_sec(disk)	rIO_sec(disk)
2018-11-28T09:38:23+00:00	1	4.020656584286241	2.6927333087421617	1.3279232755440797	0	95.97934341571376	0	377200640	7960371200	2275475456	5804232704	0	0	0	8456908800	2651516928	0.31353263830869266	11102	52153	0.00006926029520387678	4.674995589626803	14.37687963030881	0
2018-11-28T09:38:23+00:00	2	18.181818181818183	7.2727272727272725	10.909090909090908	0	81.81818181818183	0	377327616	7960244224	2275475456	5804105728	0	0	0	8456908800	2651914240	0.3135796190683764	0	0	0.00004698075968373461	-14.16116159753193	14.37687963030881	0
2018-11-28T09:38:23+00:00	3	8.695652173913043	2.1739130434782608	6.521739130434782	0	91.30434782608695	0	377507840	7960064000	2275475456	5803925504	0	0	0	8456908800	2651906048	0.313578650392919	0	0	-9.686754574023126e-7	9.486166007905126	14.37687963030881	0
2018-11-28T09:38:24+00:00	4	4.545454545454546	2.272727272727273	2.272727272727273	0	95.45454545454545	0	377372672	7960199168	2275475456	5804060672	0	0	0	8456908800	2651889664	0.3135767130420042	4479	1158	-0.0000019373509148046253	4.1501976284585	1.3831258644536653	0
2018-11-28T09:38:24+00:00	5	57.14285714285714	28.57142857142857	28.57142857142857	0	42.857142857142854	0	416063488	7921508352	2275475456	5765369856	0	0	0	8456908800	2695770112	0.31876542312954825	0	0	0.005188710087544068	-52.5974025974026	1.3831258644536653	0
2018-11-28T09:38:24+00:00	6	44.680851063829785	23.404255319148938	21.27659574468085	0	55.319148936170215	0	425525248	7912046592	2275475456	5755908096	0	0	0	8456908800	2699866112	0.31924976085824647	0	0	0.00048433772869821423	12.462006079027361	1.3831258644536653	0
2018-11-28T09:38:24+00:00	7	4.878048780487805	0	4.878048780487805	0	95.1219512195122	0	425848832	7911723008	2275475456	5755584512	0	0	0	8456908800	2699776000	0.3192391054282151	711	844	-0.000010655430031369928	39.80280228334198	0	0
2018-11-28T09:38:25+00:00	8	15.384615384615385	7.6923076923076925	7.6923076923076925	0	84.61538461538461	0	427081728	7910490112	2275508224	5754318848	0	0	0	8456908800	2701152256	0.3194018429050577	0	0	0.00016273747684258932	-10.506566604127585	0	0
2018-11-28T09:38:25+00:00	9	20.454545454545457	9.090909090909092	11.363636363636363	0	79.54545454545455	0	428335104	7909240832	2275508224	5753065472	0	0	0	8456908800	2703765504	0.31971085037596714	0	0	0.00030900747090945035	-5.0699300699300665	0	0
2018-11-28T09:38:25+00:00	10	84.44444444444444	35.55555555555556	48.888888888888886	0	15.555555555555555	0	431718400	7905812480	2275717120	5749473280	0	0	0	8456908800	2706370560	0.32001888917141924	9962	367727	0.00030803879545210355	-63.98989898989899	0	0
2018-11-28T09:38:25+00:00	11	93.61702127659575	38.297872340425535	55.319148936170215	0	6.382978723404255	0	432070656	7905406976	2276245504	5748592640	0	0	0	8456908800	2707386368	0.3201390049281364	0	0	0.00012011575671716512	-9.1725768321513	0	0
2018-11-28T09:38:26+00:00	12	93.47826086956522	21.73913043478261	71.73913043478261	0	6.521739130434782	0	431628288	7905923072	2276958208	5748322304	0	0	0	8456908800	2707578880	0.3201617688013852	19778	1062075	0.000022763873248787814	0.13876040703052706	0	0
