#ses_id:d1c9c8404c62d
Time	num	currentload(cpu)	currentload_user(cpu)	currentload_system(cpu)	currentload_nice(cpu)	currentload_idle(cpu)	currentload_irq(cpu)	active(mem)	available(mem)	buffcache(mem)	free(mem)	swapfree(mem)	swaptotal(mem)	swapused(mem)	total(mem)	used(mem)	mem_relative(mem)	rx(derived)	tx(derived)	dMem(derived)	dIdle(derived)	wIO_sec(disk)	rIO_sec(disk)
2018-11-24T20:05:45+00:00	1	0.07638657253905143	0.05122060951513249	0.023230546299514418	0.0019354167244045194	99.92361342746095	0	280461312	3521839104	2615545856	1215586304	0	0	0	4111593472	2894688256	0.7040307549160346	0	0	0	0	-1	-1
2018-11-24T20:05:45+00:00	2	8.181818181818182	4.545454545454546	3.6363636363636362	0	91.81818181818183	0	281341952	3520958464	2615640064	1214611456	0	0	0	4111593472	2896211968	0.7044013440830758	0	0	0.0003705891670411354	-8.105431609279123	-1	-1
2018-11-24T20:05:45+00:00	3	1.1235955056179776	0	1.1235955056179776	0	98.87640449438202	0	280956928	3521343488	2615640064	1214996480	0	0	0	4111593472	2895667200	0.7042688484937841	0	0	-0.00013249558929162575	7.058222676200188	-1	-1
2018-11-24T20:05:46+00:00	4	4.395604395604396	1.098901098901099	3.296703296703297	0	95.6043956043956	0	281247744	3521052672	2615717888	1214627840	0	0	0	4111593472	2896117760	0.7043784313119952	1275	871	0.00010958281821105142	-3.2720088899864095	0	0
2018-11-24T20:05:46+00:00	5	8.737864077669903	2.912621359223301	5.825242718446602	0	91.2621359223301	0	281538560	3520761856	2615717888	1214337024	0	0	0	4111593472	2896486400	0.7044680899814406	0	0	0.00008965866944543599	-4.342259682065503	0	0
2018-11-24T20:05:46+00:00	6	12.903225806451612	9.67741935483871	3.225806451612903	0	87.09677419354838	0	282411008	3519893504	2615865344	1213317120	0	0	0	4111593472	2897489920	0.7047121608038198	0	0	0.0002440708223792054	-4.165361728781718	0	0
2018-11-24T20:05:46+00:00	7	27.27272727272727	25	2.272727272727273	0	72.72727272727273	0	291471360	3510681600	2615865344	1204256768	0	0	0	4111593472	2906566656	0.7069197564870537	1117	753	0.0022075956832339205	-14.36950146627565	0	0
2018-11-24T20:05:47+00:00	8	33.00970873786408	25.24271844660194	7.766990291262135	0	66.99029126213593	0	292761600	3509538816	2615717888	1203113984	0	0	0	4111593472	2907963392	0.7072594632235081	0	0	0.00033970673645433713	-5.736981465136807	0	0
2018-11-24T20:05:47+00:00	9	25.806451612903224	20.43010752688172	5.376344086021505	0	74.19354838709677	0	281468928	3520831488	2615717888	1214406656	0	0	0	4111593472	2896224256	0.7044043327053906	0	0	-0.002855130518117477	7.203257124960842	0	0
2018-11-24T20:05:47+00:00	10	4.444444444444445	1.1111111111111112	3.3333333333333335	0	95.55555555555556	0	281313280	3520987136	2615717888	1214562304	0	0	0	4111593472	2896211968	0.7044013440830758	4311	25517	-0.0000029886223148478663	21.36200716845879	0	0
2018-11-24T20:05:47+00:00	11	5.05050505050505	1.0101010101010102	4.040404040404041	0	94.94949494949495	0	281964544	3520335872	2615717888	1213911040	0	0	0	4111593472	2896990208	0.7045906234963494	0	0	0.00018927941327362419	-0.6060606060606091	0	0
