#ses_id:38da970e173d7
Time	num	currentload(cpu)	currentload_user(cpu)	currentload_system(cpu)	currentload_nice(cpu)	currentload_idle(cpu)	currentload_irq(cpu)	active(mem)	available(mem)	buffcache(mem)	free(mem)	swapfree(mem)	swaptotal(mem)	swapused(mem)	total(mem)	used(mem)	mem_relative(mem)	rx(derived)	tx(derived)	dMem(derived)	dIdle(derived)	wIO_sec(disk)	rIO_sec(disk)
2018-11-28T08:59:18+00:00	1	0.8395692644643182	0.5657966782259536	0.27377258623836465	0	99.16043073553567	0	343134208	3466805248	1206489088	2561974272	0	0	0	4111597568	1549447168	0.3768479629570595	357541	3228102	-0.0083820810354171	6.77947835458329	3.512128955686621	0
2018-11-28T08:59:18+00:00	2	10.256410256410255	5.128205128205128	5.128205128205128	0	89.74358974358975	0	343683072	3466256384	1206489088	2561425408	0	0	0	4111597568	1550266368	0.37704720424623034	0	0	0.00019924128917081507	-9.416840991945918	3.512128955686621	0
2018-11-28T08:59:19+00:00	3	1.1494252873563218	1.1494252873563218	0	0	98.85057471264368	0	343769088	3466186752	1206497280	2561331200	0	0	0	4111597568	1550397440	0.3770790828524977	0	0	0.000031878606267354836	9.106984969053926	3.512128955686621	0
2018-11-28T08:59:19+00:00	4	2.247191011235955	0	2.247191011235955	0	97.75280898876404	0	343531520	3466424320	1206497280	2561568768	0	0	0	4111597568	1550200832	0.3770312649430967	657	604	-0.0000478179094010045	-1.0977657238796326	0	0
2018-11-28T08:59:19+00:00	5	9.433962264150944	2.8301886792452833	6.60377358490566	0	90.56603773584906	0	343744512	3466211328	1206497280	2561355776	0	0	0	4111597568	1550286848	0.37705218527845963	0	0	0.00002092033536293947	-7.18677125291498	0	0
2018-11-28T08:59:19+00:00	6	2.247191011235955	0	2.247191011235955	0	97.75280898876404	0	343994368	3465961472	1206497280	2561105920	0	0	0	4111597568	1550401536	0.37708007905894353	0	0	0.000027893780483900787	7.18677125291498	0	0
2018-11-28T08:59:19+00:00	7	6.25	2.083333333333333	4.166666666666666	0	93.75	0	343699456	3466256384	1206497280	2561400832	0	0	0	4111597568	1550401536	0.37708007905894353	549	549	0	-4.002808988764045	0	0
2018-11-28T08:59:20+00:00	8	7.000000000000001	3	4	0	93	0	343728128	3466227712	1206497280	2561372160	0	0	0	4111597568	1550327808	0.37706214734291815	0	0	-0.000017931716025376687	-0.75	0	0
2018-11-28T08:59:20+00:00	9	2.2222222222222223	1.1111111111111112	1.1111111111111112	0	97.77777777777777	0	344047616	3465908224	1206497280	2561052672	0	0	0	4111597568	1550598144	0.37712789696834453	0	0	0.00006574962542638119	4.7777777777777715	0	0
2018-11-28T08:59:20+00:00	10	4.25531914893617	1.0638297872340425	3.1914893617021276	0	95.74468085106383	0	343797760	3466158080	1206505472	2561294336	0	0	0	4111597568	1550483456	0.37710000318786063	549	549	-0.000027893780483900787	-2.033096926713938	19.28374655647383	0
2018-11-28T08:59:20+00:00	11	9.523809523809524	4.761904761904762	4.761904761904762	0	90.47619047619048	0	336568320	3473387520	1206505472	2568523776	0	0	0	4111597568	1543180288	0.3753237670949026	0	0	-0.0017762360929580168	-5.268490374873352	19.28374655647383	0
2018-11-28T08:59:21+00:00	12	4.301075268817205	1.0752688172043012	3.225806451612903	0	95.6989247311828	0	337039360	3472916480	1206505472	2568052736	0	0	0	4111597568	1543376896	0.3753715850043036	0	0	0.0000478179094010045	5.222734254992318	19.28374655647383	0
2018-11-28T08:59:21+00:00	13	4.395604395604396	1.098901098901099	3.296703296703297	0	95.6043956043956	0	337027072	3472928768	1206505472	2568065024	0	0	0	4111597568	1543467008	0.3753935015461124	549	549	0.000021916541808775225	-0.09452912678719372	0	0
2018-11-28T08:59:21+00:00	14	5.1020408163265305	1.0204081632653061	4.081632653061225	0	94.89795918367348	0	336699392	3473256448	1206505472	2568392704	0	0	0	4111597568	1543077888	0.3752988619337563	0	0	-0.00009463961235611773	-0.7064364207221274	0	0
2018-11-28T08:59:21+00:00	15	5.376344086021505	2.1505376344086025	3.225806451612903	0	94.6236559139785	0	336617472	3473338368	1206505472	2568474624	0	0	0	4111597568	1543122944	0.37530982020466064	0	0	0.000010958270904359857	-0.27430326969498253	0	0
2018-11-28T08:59:22+00:00	16	2.247191011235955	1.1235955056179776	1.1235955056179776	0	97.75280898876404	0	336744448	3473211392	1206505472	2568347648	0	0	0	4111597568	1543249920	0.37534070260448216	549	549	0.00003088239982151908	3.129153074785549	0	0
2018-11-28T08:59:22+00:00	17	7.920792079207921	1.9801980198019802	5.9405940594059405	0	92.07920792079209	0	335695872	3474259968	1206505472	2569396224	0	0	0	4111597568	1542303744	0.3751105789154898	0	0	-0.00023012368899233415	-5.673601067971958	0	0
2018-11-28T08:59:22+00:00	18	3.3333333333333335	3.3333333333333335	0	0	96.66666666666667	0	335736832	3474219008	1206505472	2569355264	0	0	0	4111597568	1542410240	0.375136480283082	0	0	0.000025901367592173763	4.587458745874585	0	0
2018-11-28T08:59:22+00:00	19	2.2222222222222223	0	2.2222222222222223	0	97.77777777777777	0	335990784	3473965056	1206505472	2569101312	0	0	0	4111597568	1542598656	0.37518230577959133	549	549	0.000045825496509332986	1.1111111111111	0	0
2018-11-28T08:59:23+00:00	20	6.862745098039216	0.9803921568627451	5.88235294117647	0	93.13725490196079	0	335257600	3474698240	1206505472	2569834496	0	0	0	4111597568	1541890048	0.3750099620644585	0	0	-0.00017234371513280555	-4.640522875816984	0	0
2018-11-28T08:59:23+00:00	21	4.3478260869565215	2.1739130434782608	2.1739130434782608	0	95.65217391304348	0	335773696	3474182144	1206505472	2569318400	0	0	0	4111597568	1542017024	0.37504084446428004	0	0	0.00003088239982151908	2.5149190110826964	0	0
2018-11-28T08:59:23+00:00	22	4.301075268817205	1.0752688172043012	3.225806451612903	0	95.6989247311828	0	336166912	3473788928	1206505472	2568925184	0	0	0	4111597568	1542385664	0.37513050304440687	591	645	0.00008965858012682792	0.0467508181393157	0	0
2018-11-28T08:59:23+00:00	23	7.8431372549019605	2.941176470588235	4.901960784313726	0	92.15686274509804	0	335228928	3474726912	1206505472	2569863168	0	0	0	4111597568	1542840320	0.3752410819598967	0	0	0.0001105789154898229	-3.542061986084761	0	0
2018-11-28T08:59:24+00:00	24	4.25531914893617	2.127659574468085	2.127659574468085	0	95.74468085106383	0	335835136	3474120704	1206505472	2569256960	0	0	0	4111597568	1542221824	0.3750906547865727	0	0	-0.00015042717332397482	3.5878181059657948	0	0
2018-11-28T08:59:24+00:00	25	2.247191011235955	0	2.247191011235955	0	97.75280898876404	0	335417344	3474538496	1206505472	2569674752	0	0	0	4111597568	1542131712	0.37506873824476394	603	549	-0.000021916541808775225	2.0081281377002114	0	0
2018-11-28T08:59:24+00:00	26	7.920792079207921	2.9702970297029703	4.9504950495049505	0	92.07920792079209	0	335728640	3474227200	1206505472	2569363456	0	0	0	4111597568	1542303744	0.3751105789154898	0	0	0.00004184067072587894	-5.673601067971958	0	0
2018-11-28T08:59:24+00:00	27	2.197802197802198	1.098901098901099	1.098901098901099	0	97.8021978021978	0	335347712	3474608128	1206505472	2569744384	0	0	0	4111597568	1541955584	0.37502590136759223	0	0	-0.00008467754789759363	5.722989881405709	0	0
2018-11-28T08:59:24+00:00	28	3.296703296703297	1.098901098901099	2.197802197802198	0	96.7032967032967	0	335523840	3474432000	1206636544	2569437184	0	0	0	4111597568	1542160384	0.3750757116898849	603	603	0.00004981032229267601	-1.098901098901095	0	0
2018-11-28T08:59:25+00:00	29	12.62135922330097	4.854368932038835	7.766990291262135	0	87.37864077669903	0	336457728	3473498112	1206636544	2568503296	0	0	0	4111597568	1542840320	0.3752410819598967	0	0	0.00016537027001178872	-9.324655926597671	0	0
2018-11-28T08:59:25+00:00	30	43.67816091954023	17.24137931034483	26.436781609195403	0	56.32183908045977	0	339279872	3470675968	1206636544	2565681152	0	0	0	4111597568	1545695232	0.3759354378526571	0	0	0.000694355892760401	-31.056801696239262	0	0
2018-11-28T08:59:25+00:00	31	55.55555555555556	21.11111111111111	34.44444444444444	0	44.44444444444444	0	339746816	3470209024	1206636544	2565214208	0	0	0	4111597568	1546129408	0.37604103573591763	504602	1370150	0.0001055978832605331	-11.877394636015325	20.775623268698062	0
2018-11-28T08:59:25+00:00	32	56.99999999999999	22	35	0	43	0	340275200	3469680640	1206644736	2564677632	0	0	0	4111597568	1546797056	0.37620341738659185	0	0	0.00016238165067422594	-1.4444444444444429	20.775623268698062	0
2018-11-28T08:59:26+00:00	33	68.67469879518072	30.120481927710845	38.55421686746988	0	31.32530120481928	0	372285440	3437666304	1206648832	2532663296	0	0	0	4111597568	1575268352	0.3831280483917243	0	0	0.0069246310051324644	-11.67469879518072	20.775623268698062	0
2018-11-28T08:59:26+00:00	34	76.59574468085107	35.1063829787234	41.48936170212766	0	23.404255319148938	0	390848512	3419107328	1206648832	2514100224	0	0	0	4111597568	1595715584	0.3881011109694284	896121	2907898	0.004973062577704079	-7.921045885670342	1.342281879194631	0
2018-11-28T08:59:26+00:00	35	67.28971962616822	23.364485981308412	43.925233644859816	0	32.71028037383177	0	396197888	3413757952	1206648832	2508750848	0	0	0	4111597568	1602572288	0.3897687605597883	0	0	0.0016676495903599209	9.306025054682834	1.342281879194631	0
2018-11-28T08:59:26+00:00	36	56.17977528089888	15.730337078651685	40.44943820224719	0	43.82022471910113	0	398249984	3411705856	1206661120	2506686464	0	0	0	4111597568	1605136384	0.39039238579489305	0	0	0.00062362523510473	11.109944345269355	1.342281879194631	0
2018-11-28T08:59:27+00:00	37	55.55555555555556	20	35.55555555555556	0	44.44444444444444	0	397402112	3412553728	1206661120	2507534336	0	0	0	4111597568	1604046848	0.39012739488029585	878292	2634706	-0.00026499091459719626	0.6242197253433162	0	0
2018-11-28T08:59:27+00:00	38	58.415841584158414	22.772277227722775	35.64356435643564	0	41.584158415841586	0	399360000	3410571264	1207554048	2504683520	0	0	0	4111597568	1606635520	0.39075699735407565	0	0	0.0006296024737798	-2.8602860286028573	0	0
2018-11-28T08:59:27+00:00	39	51.19047619047619	16.666666666666664	34.523809523809526	0	48.80952380952381	0	399802368	3410116608	1208680448	2503114752	0	0	0	4111597568	1608331264	0.3911694268226593	0	0	0.0004124294685836638	7.225365393682225	0	0
2018-11-28T08:59:27+00:00	40	68.23529411764706	31.76470588235294	36.470588235294116	0	31.76470588235294	0	402391040	3407544320	1210019840	2499186688	0	0	0	4111597568	1611599872	0.39196439956645096	784694	2609069	0.0007949727437916443	-17.04481792717087	0	0
2018-11-28T08:59:28+00:00	41	72.54901960784314	31.372549019607842	41.17647058823529	0	27.450980392156865	0	404553728	3405373440	1211609088	2495434752	0	0	0	4111597568	1615605760	0.39293868947049637	0	0	0.0009742899040454112	-4.313725490196074	0	0
2018-11-28T08:59:28+00:00	42	62.7906976744186	27.906976744186046	34.883720930232556	0	37.2093023255814	0	405880832	3404034048	1212985344	2492731392	0	0	0	4111597568	1618276352	0.3935882160731933	0	0	0.0006495266026969038	9.758321933424533	0	0
2018-11-28T08:59:28+00:00	43	78.65168539325843	43.82022471910113	34.831460674157306	0	21.34831460674157	0	409174016	3400658944	1214144512	2488279040	0	0	0	4111597568	1622286336	0.3945635021836845	938190	2589482	0.0009752861104912469	-15.860987718839826	0	0
2018-11-28T08:59:28+00:00	44	67.32673267326733	26.732673267326735	40.5940594059406	0	32.67326732673268	0	410071040	3399794688	1215406080	2486120448	0	0	0	4111597568	1624092672	0.39500282922630625	0	0	0.00043932704262172884	11.324952719991106	0	0
