#ses_id:13a0f493f9ee2
Time	num	currentload(cpu)	currentload_user(cpu)	currentload_system(cpu)	currentload_nice(cpu)	currentload_idle(cpu)	currentload_irq(cpu)	active(mem)	available(mem)	buffcache(mem)	free(mem)	swapfree(mem)	swaptotal(mem)	swapused(mem)	total(mem)	used(mem)	mem_relative(mem)	rx(derived)	tx(derived)	dMem(derived)	dIdle(derived)	wIO_sec(disk)	rIO_sec(disk)
2018-11-26T07:19:16+00:00	1	2.080066033842344	1.452744531572431	0.6273215022699132	0	97.91993396615766	0	615194624	7722389504	2754199552	5087514624	0	0	0	8456908800	3369177088	0.398393451753908	69993	2764556	-0.005999975783113565	10.164831925341332	3.8367803978395467	0.016466868660255565
2018-11-26T07:19:16+00:00	2	17.857142857142858	1.7857142857142856	16.071428571428573	0	82.14285714285714	0	615280640	7722303488	2754203648	5087424512	0	0	0	8456908800	3369463808	0.39842735539491686	0	0	0.0000339036410088589	-15.777076823300519	3.8367803978395467	0.016466868660255565
2018-11-26T07:19:16+00:00	3	8.51063829787234	4.25531914893617	4.25531914893617	0	91.48936170212765	0	615251968	7722332160	2754203648	5087453184	0	0	0	8456908800	3369508864	0.3984326831099326	0	0	0.0000053277150157127195	9.346504559270514	3.8367803978395467	0.016466868660255565
2018-11-26T07:19:17+00:00	4	6.8181818181818175	0	6.8181818181818175	0	93.18181818181817	0	615714816	7721869312	2754203648	5086990336	0	0	0	8456908800	3369820160	0.39846949277731364	835	604	0.000036809667381065836	1.6924564796905202	0	0
2018-11-26T07:19:17+00:00	5	16.363636363636363	3.6363636363636362	12.727272727272727	0	83.63636363636363	0	615092224	7722508288	2754203648	5087612928	0	0	0	8456908800	3369963520	0.39848644459781807	0	0	0.00001695182050442945	-9.545454545454547	0	0
2018-11-26T07:19:17+00:00	6	4.444444444444445	2.2222222222222223	2.2222222222222223	0	95.55555555555556	0	615411712	7722188800	2754203648	5087293440	0	0	0	8456908800	3369627648	0.3984467289040648	0	0	-0.000039715693753272774	11.919191919191931	0	0
2018-11-26T07:19:17+00:00	7	10.416666666666668	6.25	4.166666666666666	0	89.58333333333334	0	615555072	7722045440	2754203648	5087150080	0	0	0	8456908800	3369684992	0.39845350963226656	549	549	0.000006780728201760677	-5.972222222222214	0	0
2018-11-26T07:19:18+00:00	8	15.384615384615385	1.9230769230769231	13.461538461538462	0	84.61538461538461	0	616009728	7721586688	2754207744	5086691328	0	0	0	8456908800	3370143744	0.3985077554578808	0	0	0.00005424582561425195	-4.96794871794873	0	0
2018-11-26T07:19:18+00:00	9	8.51063829787234	2.127659574468085	6.382978723404255	0	91.48936170212765	0	615280640	7722319872	2754207744	5087420416	0	0	0	8456908800	3369517056	0.39843365178539	0	0	-0.00007410367249083283	6.873977086743039	0	0
2018-11-26T07:19:18+00:00	10	6.521739130434782	2.1739130434782608	4.3478260869565215	0	93.47826086956522	0	615628800	7721971712	2754207744	5087072256	0	0	0	8456908800	3369771008	0.3984636807245692	549	549	0.000030028939179249647	1.988899167437566	0	0
2018-11-26T07:19:18+00:00	11	15.09433962264151	7.547169811320755	7.547169811320755	0	84.90566037735849	0	616009728	7721590784	2754207744	5086691328	0	0	0	8456908800	3370151936	0.39850872413333815	0	0	0.00004504340876892998	-8.572600492206732	0	0
2018-11-26T07:19:19+00:00	12	6.666666666666667	2.2222222222222223	4.444444444444445	0	93.33333333333333	0	615292928	7722307584	2754207744	5087408128	0	0	0	8456908800	3369373696	0.3984166999648855	0	0	-0.00009202416845266459	8.427672955974842	0	0
2018-11-26T07:19:19+00:00	13	8.51063829787234	2.127659574468085	6.382978723404255	0	91.48936170212765	0	615628800	7721971712	2754207744	5087072256	0	0	0	8456908800	3369873408	0.3984757891677867	549	549	0.000059089202901208004	-1.843971631205676	0	0
2018-11-26T07:19:19+00:00	14	16.666666666666664	12.962962962962962	3.7037037037037033	0	83.33333333333334	0	616493056	7721107456	2754207744	5086208000	0	0	0	8456908800	3370635264	0.39856587598532456	0	0	0.00009008681753785996	-8.15602836879431	0	0
2018-11-26T07:19:19+00:00	15	8.51063829787234	4.25531914893617	4.25531914893617	0	91.48936170212765	0	615677952	7721922560	2754207744	5087023104	0	0	0	8456908800	3370889216	0.39859590492450386	0	0	0.00003002893917930516	8.15602836879431	0	0
2018-11-26T07:19:20+00:00	16	8.51063829787234	2.127659574468085	6.382978723404255	0	91.48936170212765	0	615993344	7721607168	2754207744	5086707712	0	0	0	8456908800	3370246144	0.3985198639010982	549	549	-0.00007604102340563745	0	21.887824897400822	0
2018-11-26T07:19:20+00:00	17	15.384615384615385	1.9230769230769231	13.461538461538462	0	84.61538461538461	0	616390656	7721209856	2754211840	5086306304	0	0	0	8456908800	3370659840	0.39856878201169677	0	0	0.00004891811059853923	-6.873977086743039	21.887824897400822	0
2018-11-26T07:19:20+00:00	18	8.51063829787234	2.127659574468085	6.382978723404255	0	91.48936170212765	0	616456192	7721144320	2754211840	5086240768	0	0	0	8456908800	3370848256	0.39859106154721685	0	0	0.000022279535520086657	6.873977086743039	21.887824897400822	0
2018-11-26T07:19:20+00:00	19	6.521739130434782	2.1739130434782608	4.3478260869565215	0	93.47826086956522	0	616022016	7721578496	2754211840	5086674944	0	0	0	8456908800	3369865216	0.3984748204923293	781	549	-0.00011624105488755587	1.988899167437566	0	0
2018-11-26T07:19:20+00:00	20	17.307692307692307	1.9230769230769231	15.384615384615385	0	82.6923076923077	0	616431616	7721168896	2754211840	5086265344	0	0	0	8456908800	3370577920	0.3985590952571228	0	0	0.0000842747647935016	-10.785953177257525	0	0
2018-11-26T07:19:21+00:00	21	6.8181818181818175	4.545454545454546	2.272727272727273	0	93.18181818181817	0	616599552	7721000960	2754211840	5086097408	0	0	0	8456908800	3370577920	0.3985590952571228	0	0	0	10.48951048951048	0	0
2018-11-26T07:19:21+00:00	22	8.51063829787234	2.127659574468085	6.382978723404255	0	91.48936170212765	0	617226240	7720374272	2754211840	5085470720	0	0	0	8456908800	3371118592	0.39862302783731096	657	657	0.00006393258018816406	-1.6924564796905202	0	0
2018-11-26T07:19:21+00:00	23	49.09090909090909	20	29.09090909090909	0	50.90909090909091	0	595456000	7742111744	2754248704	5107204096	0	0	0	8456908800	3346894848	0.3957586545097897	0	0	-0.0028643733275212635	-40.580270793036746	0	0
2018-11-26T07:19:21+00:00	24	53.333333333333336	35.55555555555556	17.77777777777778	0	46.666666666666664	0	615792640	7721807872	2754228224	5086887936	0	0	0	8456908800	3369594880	0.39844285420223524	0	0	0.0026841996924455436	-4.242424242424242	0	0
